excavation;manuscript;house;start_wide;end_wide;start_narrow;end_narrow;total_amount;letter_type;high_society
Никитинский;928;В;1410;1450;1430;1450;участок земли;раздельная грамота;NA
Никитинский;930;Б;1380;1420;1400;1410;;церковное;NA
Никитинский;931;В;1340;1435;1400;1410;;бытовое;NA
Никитинский;932;В;1320;1433;1400;1410;;судебное;TRUE
Никитинский;933;А;1340;1425;1400;1410;;бытовое;TRUE
Никитинский;937;Б;1350;1400;1380;1400;100 коробей м(олодога);финансовое;TRUE
Никитинский;938;А;1360;1400;1380;1400;1 коробья ржи;долговой список;FALSE
Никитинский;939;В;1350;1400;1380;1400;1 коробья ржи;финансовое;FALSE
Никитинский;942;В;1350;1400;1380;1400;;бытовое;NA
Никитинский;948;Б;1320;1400;1360;1370;рожь и выжля;финансовое;FALSE
Никитинский;949;Б;1340;1400;1340;1350;2 рубля и [пуз]…;финансовое;FALSE
