unique_id;name_in_manuscript;manuscript;status;death_year;gender
…j_942;…й;942;;NA;m
…k_939;…к;939;;NA;m
afanasij_jesifovic;Афанасий Есифович Свекла;;посадник;NA;m
anon_932;anon;932;протоколирующий?;NA;NA
anon_938;anon;938;заимодавец;NA;m
anon_939;anon;939;NA;NA;NA
bratan_938;братан;938;должник;NA;m
igumen_933;игумен;933;игумен;NA;m
ivan_933;Иван;933;посадник;NA;m
ivan_lukinic;Иван Лукинич Щока;NA;посадник;NA;m
jakov_949;Яков;949;NA;NA;m
jeremej_948;Еремей;948;NA;NA;m
jeremej_949;Еремей;949;NA;NA;m
jesif_zaharjinic;Есиф Захарьинич;NA;посадник;1409;m
jurij_937;Юрий;937;богатый;NA;m
konstantin_932;Константин Остафнин;932;свидетель?;NA;m
kuzma_932;Кузма Силв{н}анов;932;свидетель?;NA;m
kuzma_children_932;дети Кузмы;932;свидетель?;NA;pl
luka;Лука;NA;NA;NA;m
mihail_pavshinic;Михаил Павшинич;NA;посадник;1316;m
mihalko_937;Михалко;937;приказчик;NA;m
nos_937;Нос;937;богатый;NA;m
oksentij_948;Оксентий;948;NA;NA;m
onanja;Онания;NA;NA;NA;m
ondrejan_zaharjinic;Ондреян Захарьинич;NA;посадник;NA;m
ostafja_948;Остафья;948;NA;NA;m
ostafja_932;Остафья;932;NA;NA;m
parfej_948;Парфей;948;NA;NA;m
pavsha_onanjic;Павша Онаньич;NA;посадник;1273;m
petr_949;Петр;949;NA;NA;m
samson_932;Самсон Иванов;932;свидетель?;NA;m
sava_938;Сава Пачин;938;должник;NA;m
silvan;Сильван;;NA;NA;m
smen_931;Смен;931;лично свободный;NA;m
smen_949;Смен;949;NA;NA;m
stepan_949;Степан;949;NA;NA;m
uljana_942;Ульяна;942;жена;NA;f
vasilij_jesifovic;Василий Есифович Нос;NA;посадник;NA;m
zaharja_mihajlovic;Захария Михайлович;NA;посадник;1335;m
zhena_931;жена;931;жена;NA;f
zhena_939;жена;939;жена;NA;f
samson_ivanovic;Самсон Иванович;NA;посадник;NA;m
nos_937;Нос;NA;NA;NA;NA
