unique_id;name_in_manuscript;manuscript;status;death_year;gender
zhena_931;жена;931;жена;;f
smen_931;Смен;931;лично свободный;;m
anon_932;anon;932;протоколирующий?;;NA
konstantin_932;Константин Остафнин;932;свидетель?;;m
samson_932;Самсон Иванов;932;свидетель?;;m
kuzma_932;Кузма Силв{н}анов;932;свидетель?;;m
kuzma_children_932;дети Кузмы;932;свидетель?;;pl
ivan_933;Иван;933;посадник;;m
igumen_933;игумен;933;игумен;;m
jurij_937;Юрий;937;богатый;;m
nos_937;Нос;937;богатый;;m
mihalko_937;Михалко;937;приказчик;;m
sava_938;Сава Пачин;938;должник;;m
bratan_938;братан;938;должник;;m
anon_938;anon;938;заимодавец;;m
zhena_939;anon;939;жена;;f
anon_939;anon;939;;;
…k_939;…к;939;;;m
…j_939;…й;942;;;m
uljana_942;Ульяна;942;жена;;f
parfej_948;Парфей;948;;;m
jeremej_948;Еремей;948;;;m
oksentij_948;Оксентий;948;;;m
ostafia_948;Остафья;948;;;m
petr_949;Петр;949;;;m
smen_949;Смен;949;;;m
jeremej_949;Еремей;949;;;m
stepan_949;Степан;949;;;m
jakov_949;Яков;949;;;m
varfolomej_jurjevic;Варфоломей Юрьевич;;посадник;;m
vasilij_ignatjevic;Василий Игнатьевич;;тысяцкий;;m
ivan_lukinic;Иван Лукинич Щока;;посадник;;m
aleksandr_ignatjevic;Александр Игнатьевич;;посадник;;m
vasilij_jesifovic;Василий Есифович Нос;;посадник;;m
afanasij_jesifovic;Афанасий Есифович Свекла;;посадник;;m
jesif_zaharjinic;Есиф Захарьинич;;посадник;1409;m
ondrejan_zaharjinic;Ондреян Захарьинич;;посадник;;m
zaharja_mihajlovic;Захария Михайлович;;посадник;1335;m
mihail_pavshinic;Михаил Павшинич;;посадник;1316;m
pavsha_onanjic;Павша Онаньич;;посадник;1273;m
onanja;Онания;;;;m
luka;Лука;;;;m
silvan;Сильван;;;;m
